Song,Performer
"Oh, How I Miss You Tonight",['Jeanne Black']
"Oh, How It Hurts",['Barbara Mason']
"Oh, Little One",['Jack Scott']
"Oh, People",['Patti LaBelle']
"Oh, Pretty Woman",['Roy Orbison And The Candy Men']
"Oh, Rock My Soul (Part I)","['Peter, Paul & Mary']"
"Oh, Sherrie",['Steve Perry']
"Oh, Singer",['Jeannie C. Riley']
"Oh, What A Fool",['The Impalas']
"Oh, What A Night",['The Dells']
Ohio,"['Crosby, Stills, Nash & Young']"
Okay,['Nivea Featuring Lil Jon & YoungBloodZ']
Okefenokee,['Freddie Cannon']
Okie From Muskogee,['Merle Haggard And The Strangers']
Oklahoma,['Billy Gilman']
Okolona River Bottom Band,['Bobbie Gentry']
Ol' Mac Donald,['Frank Sinatra']
Ol' Man River,['Jimmy Smith']
Old Alabama,['Brad Paisley Featuring Alabama']
Old Days,['Chicago']
Old Enough To Love,['Ricky Nelson']
Old Fashioned Boy (You're The One),['Stallion']
Old Fashioned Love,['Smokey Robinson']
Old Home Filler-up An' Keep On-a-truckin' Cafe,['C.W. McCall']
Old MacDonald,['The Chargers']
Old Man,['Sawyer Fredericks' 'Neil Young']
Old Man & Me (When I Get To Heaven),['Hootie & The Blowfish']
Old Rivers,['Walter Brennan']
Old School Love,['Lupe Fiasco Featuring Ed Sheeran']
Old Shep,['Ralph DeMarco']
Old Smokey Locomotion,['Little Eva']
Old Spanish Town,['The Bell Notes']
Old Time Rock & Roll,['Bob Seger & The Silver Bullet Band']
Old Time's Sake,['Eminem Featuring Dr. Dre']
"Old Times' Sake (From ""Above The Rim"")",['Sweet Sable']
Old To The New,['Nice & Smooth']
Old Town Road,['Lil Nas X Featuring Billy Ray Cyrus']
Old-Fashion Love,['Commodores']
Ole Buttermilk Sky,"[""Bill Black's Combo""]"
Olena,['Don Nix']
Oliver Twist,['Rod McKuen']
Olivia,['One Direction']
Olympia,['Sergio Mendes']
Omaha,['Moby Grape']
Omen,['Disclosure Featuring Sam Smith']
Omerta,['Drake']
On & On,['Erykah Badu']
On A Carousel,['Glass Moon' 'The Hollies']
On A Clear Day You Can See Forever,['Johnny Mathis']
On A Night Like This,['Bob Dylan' 'Trick Pony']
On A Saturday Night,['Eddie Floyd']
On A Sunday Afternoon,['Lighter Shade Of Brown']
On An Evening In Roma,['Dean Martin']
On And Off (Part 1),['Anacostia']
On And On,['Gladys Knight And The Pips' 'Stephen Bishop' 'Shyheim']
On And On And On,['ABBA']
On Bended Knee,['Boyz II Men']
On Bended Knees,['Clarence Henry']
On Broadway,['The Drifters' 'George Benson']
On Campus,['Dickie Goodman']
On Chill,['Wale Featuring Jeremih']
On Everything,"['DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean']"
On Fire,['Lil Wayne' 'Lloyd Banks']
On God,['Kanye West']
On Me,['Meek Mill Featuring Cardi B']
On My Level,['Wiz Khalifa Featuring Too $hort']
On My Mind,['Ellie Goulding']
On My Own,['Peach Union' 'Patti LaBelle & Michael McDonald' 'Samantha Barks']
On My Way To You,['Cody Johnson']
"On Our Own (From ""Ghostbusters II"")",['Bobby Brown']
On Point,['House Of Pain']
On The Beach,['Frank Chacksfield And His Orch.']
On The Beach (In The Summertime),['The 5th Dimension']
On The Border,['Al Stewart']
On The Dark Side,['John Cafferty & The Beaver Brown Band']
On The Dock Of The Bay,['The Dells']
On The Down Low,['Brian McKnight']
On The Floor,['Jennifer Lopez Featuring Pitbull']
On The Good Ship Lollipop,['The Wonder Who?']
On The Hotline,['Pretty Ricky']
On The Line,['Tangier' 'Demi Lovato Featuring Jonas Brothers']
On The Loose,['Saga']
On The Ocean,"[""K'Jon""]"
On The Radio,['Donna Summer']
On The Rebound,['Floyd Cramer' 'Russ Ballard']
On The Regular,['Meek Mill']
On The Road,['Post Malone Featuring Meek Mill & Lil Baby']
On The Road Again,['Willie Nelson' 'Canned Heat']
On The Shelf,['Donny & Marie Osmond']
On The Street Where You Live,['Andy Williams']
On The Strip,['Paul Nicholas']
On The Way Down,['Ryan Cabrera']
On The Way Home,['The Buffalo Springfield']
On The Way To The Sky,['Neil Diamond']
On The Way Up,['Elisa Fiorillo']
On The Wings Of A Nightingale,['The Everly Brothers']
On The Wings Of Love,['Jeffrey Osborne']
On The Wrong Track,['Kevin Lamb']
On This Side Of Goodbye,['The Righteous Brothers']
On To The Next One,['Jay-Z + Swizz Beatz']
On Top Of Spaghetti,"[""Tom Glazer And The Do-Re-Mi Children's Chorus""]"
On Top Of The World,['Imagine Dragons']
Once A Fool,['Kiki Dee']
Once A Night,['Jackie English']
Once An Addict (Interlude),['J. Cole']
Once Bitten Twice Shy,['Great White']
Once In A Lifetime,['Keith Urban' 'Talking Heads']
Once In Awhile,['The Chimes']
Once Upon A Time,['Marvin Gaye & Mary Wells' 'Rochell And The Candles With Johnny Wyatt']
Once You Get Started,['Rufus Featuring Chaka Khan']
Once You Hit The Road,['Dionne Warwick']
Once You Understand,['Think']
One,"['U2' 'Bee Gees' 'Creed' 'Metallica' 'Glee Cast' 'Three Dog Night'
 'Adam Lambert' 'Mary J. Blige And U2' 'Ed Sheeran'
 'Usher & Michelle Chamuel']"
One And One,['Robert Miles Featuring Maria Nayler']
One And Only Man,['Steve Winwood']
One And The Same,['Selena Gomez & Demi Lovato']
One Bad Apple,['The Osmonds']
One Beautiful Day,"['Ecstasy, Passion & Pain']"
One Boy,['Joanie Sommers']
One Boy Too Late,['Mike Clifford']
"One Boy, One Girl",['Collin Raye']
One Broken Heart For Sale,['Elvis Presley With The Mello Men']
One By One,['Cher' 'Blues Magoos']
One Call,['Gunna']
One Call Away,['Chingy Featuring J. Weav' 'Charlie Puth']
One Chain (Don't Make No Prison),['Santana']
One Chain Don't Make No Prison,['Four Tops']
One Dance,['Drake Featuring WizKid & Kyla']
One Day,['Logic Featuring Ryan Tedder' 'Matisyahu']
One Day At A Time,['Marilyn Sellars' 'Tupac With Eminem Featuring The Outlawz']
One Day In Your Life,['Michael Jackson']
One Day Of Your Life,['Andy Williams']
One Dyin' And A Buryin',['Roger Miller']
One Eye Open,['The Maskman & The Agents']
One Fine Day,['The Chiffons' 'Carole King' 'Rita Coolidge' 'Julie']
One Fine Morning,['Lighthouse']
One Foot,['WALK THE MOON']
One Foot Back In Your Door,['Roman Holliday']
One For The Mockingbird,['Cutting Crew']
One For The Money,['Horace Brown']
One For The Money (part 1),['The Whispers']
One Girl,['Garnet Mimms']
One Good Reason,['Paul Carrack']
One Good Woman,['Peter Cetera']
One Has My Name (The Other Has My Heart),['Barry Young']
One Heart At A Time,['Various Artists']
One Heartbeat,['Smokey Robinson']
One Hell Of A Woman,['Mac Davis']
One Hell Of An Amen,['Brantley Gilbert']
One Hit (To The Body),['The Rolling Stones']
One Honest Heart,['Reba']
One Hundred Ways,['Quincy Jones Featuring James Ingram']
One Hurt Deserves Another,['The Raelets/Ray Charles Orchestra']
One In A Million,['The Romantics' 'Trixter' 'Eddie & The Tide' 'Ne-Yo']
One In A Million You,['Larry Graham']
One In Every Crowd,['Montgomery Gentry']
One Kiss,['Calvin Harris & Dua Lipa']
One Kiss For Old Times' Sake,['Ronnie Dove']
One Last Breath,['Creed']
One Last Cry,['Brian McKnight']
One Last Kiss,['The J. Geils Band']
One Last Time,['Ariana Grande' 'Glen Campbell']
One Less Bell To Answer,['The 5th Dimension']
One Less Bell To Answer / A House Is Not A Home,['Glee Cast Featuring Kristin Chenoweth']
One Less Lonely Girl,['Justin Bieber']
One Less Set Of Footsteps,['Jim Croce']
One Life To Live,['Wayne Massey']
One Light Two Lights,['The Satisfactions']
One Lonely Night,['REO Speedwagon']
One Love (People Get Ready),['Glee Cast']
One Love In My Lifetime,['Diana Ross']
"One Love, One Heart",['The Four Coins']
One Lover At A Time,['Atlantic Starr']
One Man Band,['Three Dog Night' 'Old Dominion' 'Leo Sayer']
One Man Band (Plays All Alone),['Ronnie Dyson']
One Man Can Change The World,['Big Sean Featuring Kanye West & John Legend']
One Man Parade,['James Taylor']
One Man Woman/One Woman Man,['Paul Anka with Odia Coates']
One Man's Leftovers (Is Another Man's Feast),['100 Proof Aged in Soul']
One Mic,['Nas']
One Mint Julep,['Ray Charles' 'Chet Atkins']
One Minute,['XXXTENTACION Featuring Kanye West & Travis Barker']
One Minute Man,"['Missy ""Misdemeanor"" Elliott']"
One Moment In Time,['Whitney Houston']
One Monkey Don't Stop No Show,['Joe Tex']
One Monkey Don't Stop No Show Part I,['The Honey Cone']
One More Chance,['Rod Bernard' 'Diana Ross' 'Ocean' 'Michael Jackson']
One More Chance/Stay With Me,['The Notorious B.I.G.']
One More Day,['Diamond Rio' 'New Edition']
One More Drink,['Ludacris Co-Starring T-Pain']
One More Drinkin' Song,['Jerrod Niemann']
One More Heartache,['Marvin Gaye']
One More Minute,['Saint Tropez']
One More Mountain To Climb,['Ronnie Dove']
One More Night,['Maroon 5' 'Phil Collins' 'Amber' 'Streek']
One More Sunrise (Morgen),['Leslie Uggams']
One More Tear,['The Raindrops']
One More Time,['Real McCoy' 'Daft Punk' 'The Ray Charles Singers']
One More Time For Love,['Billy Preston & Syreeta']
One More Tomorrow,['Henry Gross']
One More Town,['The Kingston Trio']
One More Try,['George Michael' 'Timmy T.' 'Divine' 'Kristine W']
One Nation Under A Groove - Part I,['Funkadelic']
One Night,['Elvis Presley']
One Night Affair,"['Jerry Butler' ""The O'Jays""]"
One Night At A Time,['George Strait']
One Night In Bangkok,['Murray Head' 'Robey']
One Night Love Affair,['Bryan Adams']
One Night Stand,['J-Shin Featuring LaTocha Scott' 'The Magic Lanterns']
One Number Away,['Luke Combs']
One Of A Kind (Love Affair),['The Spinners']
One Of The Boys,['Mott The Hoople']
One Of The Living,['Tina Turner']
One Of The Lucky Ones,['Anita Bryant']
One Of These Days,['Tim McGraw']
One Of These Nights,['Eagles']
One Of Those Days,['Whitney Houston']
One Of Those Nights,['Tim McGraw']
One Of Us,['Joan Osborne' 'Glee Cast']
One Of Us (Will Weep Tonight),['Patti Page']
One On One,['Daryl Hall John Oates' 'To Be Continued...']
One Piece At A Time,['Johnny Cash And The Tennessee Three']
One Piece Topless Bathing Suit,['The Rip Chords']
One Simple Thing,['Stabilizers']
One Step At A Time,['Jordin Sparks' 'Maxine Brown']
One Step Closer,['Linkin Park' 'The Doobie Brothers']
One Step Closer To You,['Gavin Christopher']
One Step Up,['Bruce Springsteen']
One Summer Night,['The Danleers' 'The Diamonds']
One Sunny Day (From Quicksilver),"['Ray Parker,Jr. & Helen Terry']"
One Sweet Day,['Mariah Carey & Boyz II Men']
One Tear,['Eddie Kendricks']
One That Got Away,['Michael Ray']
One Thing,['One Direction' 'Finger Eleven']
One Thing Leads To Another,['The Fixx']
One Thing Right,['Marshmello & Kane Brown']
One Time,['Justin Bieber']
One Tin Soldier,['The Original Caste']
One Tin Soldier (The Legend of Billy Jack),['Coven']
"One Tin Soldier, The Legend of Billy Jack",['Coven']
One To One,['Carole King']
One Toke Over The Line,['Brewer And Shipley']
One Too Many Mornings,['Beau Brummels']
One Track Mind,['Bobby Lewis' 'The Knickerbockers']
One Vision,['Queen']
One Voice,['Billy Gilman']
One Way Love,['The Drifters' 'TKA' 'Bandit']
One Way Or Another,['Blondie']
One Way Or Another (Teenage Kicks),['One Direction']
One Way Out,['The Allman Brothers Band']
One Way Sunday,['Mark-Almond']
One Week,['Barenaked Ladies']
One Wing In The Fire,['Trent Tomlinson']
One Wish,['Ray J']
One Woman,['Jade' 'Johnny Rivers']
One Woman Man,['Dave Hollister']
"One, Two, Three",['Ramsey Lewis']
One-Trick Pony,['Paul Simon']
One-Way Ticket,['Tyrone Davis']
Online,['Brad Paisley']
Only,"['Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown' 'Nine Inch Nails']"
Only A Lonely Heart Sees,['Felix Cavaliere']
Only A Memory,['The Smithereens']
Only For Love,['Limahl']
Only Girl (In The World),['Rihanna']
Only God Knows Why,['Kid Rock']
Only Happy When It Rains,['Garbage']
Only Human,['Jonas Brothers']
Only If...,['Enya']
Only In America,['Jay & The Americans' 'Brooks & Dunn']
Only In My Dreams,['Debbie Gibson']
Only In Your Heart,['America']
Only Lonely,['Bon Jovi']
Only Love,['Bill Quateman']
Only Love (Can Save Me Now),['Solomon Burke']
Only Love (The Ballad Of Sleeping Beauty),['Sophie B. Hawkins']
Only Love Can Break A Heart,['Gene Pitney' 'Margaret Whiting' 'Bobby Vinton']
Only Love Can Break Your Heart,['Neil Young' 'St. Etienne']
Only Love Is Real,['Carole King']
Only My Heart Talkin',['Alice Cooper']
Only One,['Kanye West Featuring Paul McCartney']
Only One Love In My Life,['Ronnie Milsap']
Only One Road,['Celine Dion']
Only One Woman,['Nigel Olsson']
Only One You,['T.G. Sheppard']
Only Prettier,['Miranda Lambert']
Only Sixteen,['Dr. Hook' 'Sam Cooke']
Only The Good Die Young,['Glee Cast' 'Billy Joel']
Only The Lonely,['The Motels' 'Sonny James']
Only The Lonely (Have A Reason To Be Sad),['La Flavour']
Only The Lonely (Know How I Feel),['Roy Orbison']
Only The Lucky,['Walter Egan']
Only The Strong Survive,['Jerry Butler']
Only The Young,['Journey']
Only Those In Love,['Baby Washington']
Only Time,['Enya']
Only Time Will Tell,['Nelson' 'Asia']
Only U,['Ashanti']
Only Wanna Be With You,['Hootie & The Blowfish']
Only When I Lose Myself,['Depeche Mode']
Only When You Leave,['Spandau Ballet']
Only When You're Lonely,['The Grass Roots']
Only Women,['Alice Cooper']
Only Women Bleed,['Favorite Angel']
Only Yesterday,['Carpenters']
Only You,"['112 Featuring The Notorious B.I.G.' 'Commodores' 'Ringo Starr'
 ""Franck Pourcel's French Fiddles"" 'Yaz' 'Tami Davis'
 'Loleatta Holloway And Bunny Sigler']"
Only You (And You Alone),['Mr. Acker Bilk' 'Bobby Hatfield']
Only You Can,['Fox']
Only You Can Love Me This Way,['Keith Urban']
Only You Know And I Know,['Delaney & Bonnie' 'Dave Mason']
"Oo Wee Baby, I Love You",['Fred Hughes']
Oo-La-La-Limbo,['Danny & The Juniors']
Oochie Coochie,['M.C. Brains']
Oochie Wally,['QB Finest Featuring Nas & Bravehearts']
Oodles O' Noodles Babies,['Meek Mill']
Ooh Aah... Just A Little Bit,['Gina G']
Ooh Baby,"[""Gilbert O'Sullivan"" 'Bo Diddley' 'Mario' 'Deon Jackson']"
Ooh Baby Baby,['Linda Ronstadt']
Ooh Boy,['Rose Royce']
Ooh Child,['Dino']
Ooh La La,['Rod Stewart' 'David Hallyday' 'Britney Spears']
Ooh La La (I Can't Get Over You),['Perfect Gentlemen']
Ooh Ooh Song,['Pat Benatar']
Ooh Poo Pah Doo,['Ike & Tina Turner']
Ooh Poo Pah Doo - Part II,['Jessie Hill']
Ooh!,['Mary J. Blige']
Ooo Baby Baby,['The Miracles']
Ooo La La La,['Teena Marie']
Oooh This I Need,['Elisa Fiorillo']
"Oooh, Baby Baby",['The Five Stairsteps']
Ooohhhwee,['Master P Featuring Weebie']
Ooops Up,['Snap!']
Oops (Oh My),['Tweet']
Oops!...I Did It Again,['Britney Spears']
"Oowee, Oowee",['Perry Como']
Op,['The Honeycones']
Open,['Smokey Robinson']
Open Arms,['Journey']
Open Letter,['Lil Wayne']
Open Letter (To A Landlord),['Living Colour']
Open My Heart,['Yolanda Adams']
Open Safe,['Lil Wayne']
Open Sesame - Part 1,['Kool & The Gang']
Open The Door (Song For Judith),['Judy Collins']
Open The Door To Your Heart,['Darrell Banks']
Open Up My Heart/Nadine,['The Dells']
Open Up Your Door,['Richard And The Young Lions']
Open Your Heart,['Madonna']
Operator,"['Midnight Star' 'The Manhattan Transfer' 'Brenda Holloway'
 'Gladys Knight And The Pips']"
Operator (That's Not the Way it Feels),['Jim Croce']
Ophelia,['The Lumineers' 'The Band']
Opportunities (Let's Make Lots Of Money),['Pet Shop Boys']
Opportunity,['The Jewels']
Opposite Of Adults,['Chiddy Bang']
Opposites Attract,['Paula Abdul (Duet With The Wild Pair)']
Opposites Do Attract,['All Sports Band']
Opus 17 (Don't You Worry 'Bout Me),"['The 4 Seasons Featuring the ""Sound of Frankie Valli""']"
Or Nah,['Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard']
Orange Blossom Special,['Johnny Cash' 'Billy Vaughn And His Orchestra']
Ordinary Day,['Vanessa Carlton']
Ordinary Girl,['Hannah Montana']
Ordinary Life,['Chad Brock' 'The Weeknd']
Ordinary Love,['U2']
Ordinary People,['John Legend']
Ordinary World,['Duran Duran']
Organ Shout,"['Dave ""Baby"" Cortez']"
Original Fire,['Audioslave']
Original Prankster,['The Offspring']
Original Sin,['INXS']
Orinoco Flow (Sail Away),['Enya']
Otherside,['Post Malone' 'Red Hot Chili Peppers']
Otis,['Jay Z Kanye West Featuring Otis Redding']
Otro Trago,"['Sech, Darell, Nicky Jam, Ozuna & Anuel AA' 'Sech Featuring Darell']"
Oui,['Jeremih']
Our Anniversary,['Shep And The Limelites']
Our Country,['John Mellencamp']
Our Day Will Come,['Frankie Valli' 'Ruby And The Romantics']
Our Everlasting Love,['Ruby And The Romantics']
Our House,"['Madness' 'Crosby, Stills, Nash & Young']"
Our Kind Of Love,['Lady Antebellum']
Our Last Song Together,['Bo Donaldson And The Heywoods']
Our Lips Are Sealed,"[""Go-Go's""]"
Our Love,['Natalie Cole']
Our Love Is Here To Stay,['Dinah Washington']
Our Love Is Insane,['Desmond Child And Rouge']
Our Night,['Shaun Cassidy']
Our Song,['Taylor Swift' 'Jack Jones']
Our Time Now,"[""Plain White T's""]"
Our Winter Love,['Bill Pursell' 'The Lettermen']
Our World,['Johnny Tillotson' 'Blue Mink']
Ours,['Taylor Swift']
Out & About,['Tommy Boyce & Bobby Hart']
Out For The Night,['21 Savage']
Out Here Grindin,"[""DJ Khaled Feat. Akon, Plies, Young Jeezy, Rick Ross, Ace Hood, Trick Daddy & Lil' Boosie""]"
Out Here On My Own,['Irene Cara']
Out In The Country,['Three Dog Night']
Out In The Streets,['The Shangri-Las']
Out Last Night,['Kenny Chesney']
Out Of Left Field,['Percy Sledge']
Out Of Limits,['The Marketts']
Out Of Luck,['Lil Tecca']
Out Of Mind Out Of Sight,['Models']
Out Of My Bones,['Randy Travis']
Out Of My Head,['Lupe Fiasco Featuring Trey Songz' 'Fastball']
Out Of My Heart (Into Your Head),['BBMak']
Out Of My Mind,['Johnny Tillotson']
Out Of Sight,['James Brown And His Orchestra']
Out Of Sight (YO),['Rufus Blaq']
Out Of Sight - Out Of Mind,['Sunny & The Sunliners']
"Out Of Sight, Out Of Mind",['Little Anthony And The Imperials']
Out Of Tears,['The Rolling Stones']
Out Of The Blue,['Debbie Gibson' 'Tommy James And The Shondells']
Out Of The Darkness,['David Crosby/Graham Nash']
Out Of The Question,"[""Gilbert O'Sullivan""]"
Out Of The Woods,['Taylor Swift']
Out Of This World,['The Chiffons']
Out Of Time,['The Rolling Stones']
Out Of Touch,['Daryl Hall John Oates']
Out Of Work,['Gary U.S. Bonds']
Out The Mud,['Lil Baby Featuring Future']
Out The Speakers,['A-Trak + Milo & Otis Featuring Rich Kidz']
Outa-Space,['Billy Preston']
Outlaw,['50 Cent' 'War']
Outlaw Man,['Eagles' 'David Blue']
Outrageous,['Britney Spears']
Outside,"['Aaron Lewis Of Staind With Fred Durst'
 'Calvin Harris Featuring Ellie Goulding']"
Outside Looking In,['Jordan Pruitt']
Outside My Window,['The Fleetwoods' 'Stevie Wonder']
Outside The Gates Of Heaven,['Lou Christie']
Outside Today,['YoungBoy Never Broke Again']
Outside Woman,['Bloodstone']
Outstanding,['Gunna' 'The Gap Band']
Outta Control,['50 Cent']
Outta Control (Remix),['50 Cent Featuring Mobb Deep']
Outta My Head,['Khalid With John Mayer' 'Craig Campbell']
Outta My System,['Bow Wow Featuring T-Pain & Johnta Austin']
Outta Your Mind,['Lil Jon Featuring LMFAO']
Over,['Blake Shelton' 'Drake']
Over And Over,"['Nelly Featuring Tim McGraw' 'Bobby Day' 'The Dave Clark Five'
 'Pajama Party' 'Thurston Harris' 'Timmy T.']"
Over It,['Katharine McPhee' 'Summer Walker']
Over My Head,['Fleetwood Mac' 'Toni Basil']
Over My Head (Cable Car),['The Fray']
Over Now,['Post Malone']
Over The Hills And Far Away,['Led Zeppelin']
Over The Line,['Eddie Schwartz']
Over The Mountain (Across The Sea),['Bobby Vinton']
Over The Mountain; Across The Sea,['Johnnie & Joe']
Over The Rainbow,['Glee Cast' 'The Demensions' 'Gary Tanner']
Over The Weekend,['The Playboys']
Over Under Sideways Down,['The Yardbirds']
Over You,"['Cassadee Pope' 'Miranda Lambert' 'Gary Puckett And The Union Gap'
 'Daughtry' 'Roxy Music']"
Overcome,['Creed']
Overdose,['YoungBoy Never Broke Again']
Overdue,['Metro Boomin Featuring Travis Scott']
Overjoyed,['Stevie Wonder']
Overkill,['Men At Work']
Overnight,['Logic']
Overnight Celebrity,['Twista']
Overnight Sensation (Hit Record),['Raspberries']
Overprotected,['Britney Spears']
Overture From Tommy (A Rock Opera),['The Assembled Multitude']
Owe Me,['Big Sean']
Own It,['Drake']
Own The Night,['Chaka Khan']
Owner Of A Lonely Heart,['Yes']
Owwww!,['Chunky A']
Oye Como Va,['Santana']
Oye Mi Canto,"['N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato']"
Oye Mi Canto (Hear My Voice),['Gloria Estefan']
P**** Print,['Gucci Mane Featuring Kanye West']
P***ycat,"['Missy ""Misdemeanor"" Elliott']"
P.A.S.S.I.O.N.,['Rhythm Syndicate']
P.I.M.P.,['50 Cent']
P.S. I Love You,['The Beatles']
P.T. 109,['Jimmy Dean']
P.Y.T. (Pretty Young Thing),['Glee Cast' 'Michael Jackson']
POP STAR,['DaBaby Featuring Kevin Gates']
POWER,['Kanye West']
PPAP (Pen-Pineapple-Apple-Pen),['PIKOTARO']
PROLLY HEARD,['DaBaby']
PYD,['Justin Bieber Featuring R. Kelly']
Pac-Man Fever,['Buckner & Garcia']
Padre,['Toni Arden']
Pain,['Three Days Grace' 'Jimmy Eat World']
Pain (Part I),['Ohio Players']
Pain In My Heart,['Otis Redding']
"Paint It, Black",['The Rolling Stones']
Paint Me A Birmingham,['Tracy Lawrence']
Painted Ladies,['Ian Thomas']
Painted Moon,['The Silencers']
Painted Picture,['Commodores']
"Painted, Tainted Rose",['Al Martino']
Painter,['Lou Christie']
Palace Guard,['Rick Nelson And The Stone Canyon Band']
Palisades Park,['Freddy Cannon']
Paloma Blanca,['George Baker Selection']
Pamela,['Toto']
Panama,['Van Halen']
Panda,['Desiigner']
Pandora's Golden Heebie Jeebies,['The Association']
Panic,['Otis Williams And His Charms']
Panic Switch,['Silversun Pickups']
Panini,['Lil Nas X']
Pants On The Ground,['General Larry Platt']
Papa Can You Hear Me?,['Glee Cast']
Papa Don't Preach,['Madonna' 'Kelly Osbourne']
Papa Don't Take No Mess (Part I),['James Brown']
Papa Was A Rollin' Stone,['The Temptations' 'The Undisputed Truth' 'Wolf']
Papa Was Too,['Joe Tex']
Papa's Got A Brand New Bag,['Otis Redding']
Papa's Got A Brand New Bag (Part I),['James Brown And The Famous Flames']
Papa'z Song,['2Pac Duet With Mopreme']
Papa-Oom-Mow-Mow,['The Rivingtons']
Paparazzi,['Lady Gaga' 'Xzibit']
Paper,['Queen Latifah Featuring Apache']
Paper Cup,['The 5th Dimension']
Paper Doll,['P.M. Dawn' 'John Mayer']
Paper In Fire,['John Mellencamp']
Paper Mache,['Dionne Warwick']
Paper Planes,['M.I.A.']
Paper Rings,['Taylor Swift']
Paper Roses,['Anita Bryant' 'Marie Osmond']
Paper Sun,['Traffic featuring Stevie Winwood']
Paper Tiger,['Sue Thompson']
Paperback Writer,['The Beatles']
Paperlate,['Genesis']
Papers,['Usher']
Papi,['Jennifer Lopez']
Parachute,['Chris Stapleton']
Paradise,"['Coldplay' 'LL Cool J Featuring Amerie' 'Sade' 'Sammy Turner' 'Change'
 'Bazzi' 'Big Sean']"
Paradise By The Dashboard Light,['Meat Loaf']
Paradise City,"[""Guns N' Roses""]"
Paralyzer,['Finger Eleven']
Paramedic!,['SOB X RBE']
Paranoid,"['Post Malone' 'Jonas Brothers' 'Ty Dolla $ign Featuring B.o.B'
 'Black Sabbath']"
Paranoimia,['Art Of Noise With Max Headroom']
Pardon Me Sir,['Joe Cocker']
Parents Just Don't Understand,['D.J. Jazzy Jeff & The Fresh Prince']
Paris,['The Chainsmokers' 'Perez Prado And His Orchestra']
Parking Lot Party,['Lee Brice']
Parrty - Part I,['Maceo And The Macks']
Part II,['Method Man & Redman']
Part II (On The Run),['Jay Z Featuring Beyonce']
Part Of Me,['Katy Perry']
"Part Of Me, Part Of You",['Glenn Frey']
Part Of The Plan,['Dan Fogelberg']
Part Time Love,"['Gladys Knight And The Pips' 'Little Johnny Taylor' 'Ann Peebles'
 'Kerry Chater']"
Part Time Lover/I'm Still In Love With You,['H-Town/Al B. Sure!']
Part-Time Love,['Elton John']
Part-Time Lover,['Stevie Wonder']
Partition,['Beyonce']
Party,"['Beyonce Featuring Andre 3000' 'Chris Brown Featuring Usher & Gucci Mane'
 'Van Mccoy']"
Party Ain't A Party,"['Queen Pen Featuring Teddy Riley, Nutta Butta, Markell & Jesse Wes']"
Party All The Time,['Eddie Murphy']
Party For Two,['Shania Twain With Billy Currington Or Mark McGrath']
Party Girl,['Bernadette Carroll' 'Tommy Roe']
Party In The U.S.A.,['Miley Cyrus']
Party Lights,['Claudine Clark' 'Natalie Cole']
Party Like A Rockstar,['Shop Boyz']
Party Line,['Andrea True Connection']
Party Monster,['The Weeknd']
Party Music,['Pat Lundi']
Party On Fifth Ave.,['Mac Miller']
Party People,['Nelly Featuring Fergie']
Party Rock Anthem,['LMFAO Featuring Lauren Bennett & GoonRock']
Party To Damascus,['Wyclef Jean Featuring Missy Elliott']
Party Up (Up In Here),['DMX']
Partyman,['Prince']
Pass Me By,['Peggy Lee']
Pass Out,['Quavo Featuring 21 Savage']
Pass That Dutch,['Missy Elliott']
Pass The Apple Eve,['B.J. Thomas']
Pass The Courvoisier Part II,['Busta Rhymes Featuring P. Diddy & Pharrell']
Pass The Dutchie,['Musical Youth']
Pass The Peas,"[""The JB's""]"
Passenger Seat,['SHeDAISY']
Passin' Me By,['The Pharcyde']
Passion,['Rod Stewart' 'K5']
Passionate Kisses,['Mary Chapin Carpenter']
Passionfruit,['Drake']
"Past, Present And Future",['The Shangri-Las']
Pata Pata,['Miriam Makeba']
Patch Of Blue,['Frankie Valli & The 4 Seasons']
Patches,['Dickey Lee' 'Clarence Carter']
Patek Water,['Future & Young Thug Featuring Offset']
Patience,"[""Guns N' Roses""]"
Patricia,['Perez Prado And His Orchestra']
Patricia - Twist,['Perez Prado And His Orchestra']
Patsy,['Jack Scott']
Patti Ann,['Johnny Crawford']
Patty Baby,['Freddy Cannon']
Patty Cake,['Kodak Black']
Pause,['Pitbull']
Pay Back,['Etta James']
"Pay The Devil (Ooo, Baby, Ooo)",['The Knack']
Pay To The Piper,['Chairman Of The Board']
Pay You Back,['Meek Mill Featuring 21 Savage']
Pay You Back With Interest,"['The Hollies' ""Gary O'""]"
Paying The Cost To Be The Boss,['B.B. King']
Paying The Price Of Love,['Bee Gees']
Payphone,['Maroon 5 Featuring Wiz Khalifa']
Peace,['The McGuire Sisters']
Peace Brother Peace,['Bill Medley']
Peace In Our Time,['Eddie Money']
Peace Of Mind,"['Boston' 'Paul Revere & The Raiders Featuring Mark Lindsay'
 'Teresa Brewer' 'Nancy Wilson']"
Peace Of Mind (Love Goes On),['One 2 One']
Peace Train,['Cat Stevens']
Peace Will Come (According To Plan),['Melanie']
Peaceful,['Helen Reddy']
Peaceful Easy Feeling,['Eagles']
Peacekeeper,['Fleetwood Mac']
Peaches,['The Presidents Of The United States Of America']
